Z (um),Deflection (um)
0.0374,-0.013046
0.0373,-0.01298
0.0372,-0.012945
0.0371,-0.012916
0.037,-0.012931
0.0369,-0.012845
0.0368,-0.01285
0.0367,-0.012859
0.0366,-0.012804
0.0365,-0.012836
0.0364,-0.012781
0.0363,-0.012729
0.0362,-0.012735
0.0361,-0.012695
0.036,-0.012741
0.0359,-0.012678
0.0358,-0.01266
0.0357,-0.012626
0.0356,-0.012542
0.0355,-0.012534
0.0354,-0.012505
0.0353,-0.012496
0.0352,-0.012393
0.0351,-0.012364
0.035,-0.012324
0.0349,-0.012353
0.0348,-0.012378
0.0347,-0.012338
0.0346,-0.012327
0.0345,-0.012281
0.0344,-0.012258
0.0343,-0.01224
0.0342,-0.0122
0.0341,-0.012191
0.034,-0.012171
0.0339,-0.012168
0.0338,-0.012145
0.0337,-0.012082
0.0336,-0.012076
0.0335,-0.012019
0.0334,-0.011973
0.0333,-0.01201
0.0332,-0.01199
0.0331,-0.01197
0.033,-0.011941
0.0329,-0.011909
0.0328,-0.01184
0.0327,-0.011791
0.0326,-0.011814
0.0325,-0.011875
0.0324,-0.011829
0.0323,-0.01178
0.0322,-0.011748
0.0321,-0.011748
0.032,-0.011694
0.0319,-0.011691
0.0318,-0.011648
0.0317,-0.011671
0.0316,-0.011722
0.0315,-0.011688
0.0314,-0.011642
0.0313,-0.011662
0.0312,-0.011636
0.0311,-0.011659
0.031,-0.011584
0.0309,-0.011576
0.0308,-0.011584
0.0307,-0.011576
0.0306,-0.011507
0.0305,-0.011518
0.0304,-0.011475
0.0303,-0.011432
0.0302,-0.011495
0.0301,-0.011466
0.03,-0.011463
0.0299,-0.011432
0.0298,-0.011406
0.0297,-0.011368
0.0296,-0.011354
0.0295,-0.01136
0.0294,-0.011351
0.0293,-0.011276
0.0292,-0.01121
0.0291,-0.011187
0.029,-0.01119
0.0289,-0.01121
0.0288,-0.011156
0.0287,-0.011104
0.0286,-0.011147
0.0285,-0.011118
0.0284,-0.011092
0.0283,-0.01115
0.0282,-0.011144
0.0281,-0.011098
0.028,-0.011069
0.0279,-0.011118
0.0278,-0.011075
0.0277,-0.010992
0.0276,-0.010986
0.0275,-0.01104
0.0274,-0.011
0.0273,-0.011023
0.0272,-0.011063
0.0271,-0.011
0.027,-0.010937
0.0269,-0.010911
0.0268,-0.010879
0.0267,-0.010813
0.0266,-0.010802
0.0265,-0.010779
0.0264,-0.010761
0.0263,-0.010741
0.0262,-0.01071
0.0261,-0.01073
0.026,-0.010733
0.0259,-0.010712
0.0258,-0.010672
0.0257,-0.010704
0.0256,-0.010701
0.0255,-0.010641
0.0254,-0.01062
0.0253,-0.010643
0.0252,-0.010571
0.0251,-0.010571
0.025,-0.010612
0.0249,-0.010629
0.0248,-0.010543
0.0247,-0.010592
0.0246,-0.010594
0.0245,-0.010603
0.0244,-0.010511
0.0243,-0.010468
0.0242,-0.010451
0.0241,-0.010353
0.024,-0.010353
0.0239,-0.010376
0.0238,-0.010402
0.0237,-0.01035
0.0236,-0.010295
0.0235,-0.010243
0.0234,-0.010252
0.0233,-0.010212
0.0232,-0.010189
0.0231,-0.010209
0.023,-0.010171
0.0229,-0.010157
