Z (um),Deflection (um)
0.0103,-0.010287
0.01045,-0.010249
0.0106,-0.010321
0.01075,-0.01035
0.0109,-0.010422
0.01105,-0.010479
0.0112,-0.010459
0.01135,-0.010623
0.0115,-0.0106
0.01165,-0.010583
0.0118,-0.010672
0.01195,-0.010735
0.0121,-0.010698
0.01225,-0.010758
0.0124,-0.010805
0.01255,-0.010822
0.0127,-0.010848
0.01285,-0.010853
0.013,-0.010853
0.01315,-0.010917
0.0133,-0.010902
0.01345,-0.01092
0.0136,-0.010974
0.01375,-0.010943
0.0139,-0.010974
0.01405,-0.01102
0.0142,-0.011081
0.01435,-0.011089
0.0145,-0.01113
0.01465,-0.011089
0.0148,-0.011164
0.01495,-0.011213
0.0151,-0.011213
0.01525,-0.011207
0.0154,-0.011274
0.01555,-0.01132
0.0157,-0.011308
0.01585,-0.011317
0.016,-0.011391
0.01615,-0.011394
0.0163,-0.011403
0.01645,-0.011426
0.0166,-0.011432
0.01675,-0.011449
0.0169,-0.011489
0.01705,-0.011532
0.0172,-0.011616
0.01735,-0.011602
0.0175,-0.011668
0.01765,-0.011653
0.0178,-0.011702
0.01795,-0.011714
0.0181,-0.011745
0.01825,-0.011708
0.0184,-0.011743
0.01855,-0.011774
0.0187,-0.011835
0.01885,-0.011817
0.019,-0.011812
0.01915,-0.011884
0.0193,-0.011849
0.01945,-0.011878
0.0196,-0.011961
0.01975,-0.011924
0.0199,-0.011915
0.02005,-0.011973
0.0202,-0.011953
0.02035,-0.01201
0.0205,-0.012033
0.02065,-0.012079
0.0208,-0.012045
0.02095,-0.012007
0.0211,-0.012102
0.02125,-0.012085
0.0214,-0.012033
0.02155,-0.012174
0.0217,-0.012183
0.02185,-0.012189
0.022,-0.012249
0.02215,-0.01224
0.0223,-0.012246
0.02245,-0.012286
0.0226,-0.01226
0.02275,-0.012286
0.0229,-0.012321
0.02305,-0.012353
0.0232,-0.012436
0.02335,-0.012456
0.0235,-0.012511
0.02365,-0.01254
0.0238,-0.012476
0.02395,-0.012491
0.0241,-0.012577
0.02425,-0.012548
0.0244,-0.012537
0.02455,-0.012586
0.0247,-0.012695
0.02485,-0.012701
0.025,-0.012752
0.02515,-0.012764
0.0253,-0.012801
0.02545,-0.012845
0.0256,-0.012819
0.02575,-0.01283
0.0259,-0.012776
0.02605,-0.01285
0.0262,-0.012905
0.02635,-0.01296
0.0265,-0.012988
0.02665,-0.012991
0.0268,-0.013034
0.02695,-0.013009
0.0271,-0.013023
0.02725,-0.013034
0.0274,-0.013057
0.02755,-0.013132
0.0277,-0.013164
0.02785,-0.01319
0.028,-0.013178
0.02815,-0.013201
0.0283,-0.013293
0.02845,-0.013288
0.0286,-0.013233
0.02875,-0.013337
0.0289,-0.013337
0.02905,-0.013296
0.0292,-0.013325
0.02935,-0.013362
0.0295,-0.013368
0.02965,-0.013383
0.0298,-0.013423
0.02995,-0.013457
0.0301,-0.013501
0.03025,-0.013503
0.0304,-0.01357
0.03055,-0.013587
0.0307,-0.01359
0.03085,-0.013555
0.031,-0.013561
0.03115,-0.01359
0.0313,-0.013642
0.03145,-0.013647
